,a0.1_g1,a0.1_g0.9,a0.1_g0.8,a0.1_g0.7,a0.2_g1,a0.2_g0.9,a0.2_g0.8,a0.2_g0.7,a0.3_g1,a0.3_g0.9,a0.3_g0.8,a0.3_g0.7
190,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0
191,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0
192,-137.0,-137.0,-137.0,-137.0,-137.0,-137.0,-137.0,-137.0,-137.0,-137.0,-137.0,-137.0
193,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0
194,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0
195,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0
196,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
197,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0
198,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0
199,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0
200,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0
201,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
202,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0,-227.0
203,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
204,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0,-254.0
205,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0
206,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0
207,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0
